Method,Stability_Spearman_Noise_Mean,Stability_Spearman_Noise_CI_Low,Stability_Spearman_Noise_CI_High,Stability_Spearman_Masking_Mean,Stability_Spearman_Masking_CI_Low,Stability_Spearman_Masking_CI_High,Stability_Top10_Noise_Overlap_Mean,Stability_Top10_Masking_Overlap_Mean,Fidelity_vs_Permutation_Spearman_Mean,Fidelity_vs_Permutation_Spearman_CI_Low,Fidelity_vs_Permutation_Spearman_CI_High,Fidelity_vs_GradInput_Spearman_Mean,Fidelity_vs_GradInput_Spearman_CI_Low,Fidelity_vs_GradInput_Spearman_CI_High,Top10_Clinical_Overlap,Clinical_Top10_Overlap_Features,Weighted_Clinical_Overlap,Clinical_Precision,Clinical_Recall,RecordType,SHAP_vs_Captum_Spearman,LIME_vs_Captum_Spearman,SHAP_vs_LIME_Spearman,SHAP_vs_Captum_Top10_Overlap,LIME_vs_Captum_Top10_Overlap,SHAP_vs_LIME_Top10_Overlap,Feature,Clinically_Validated,Model_Permutation,GradInput_Baseline,Captum_IG,SHAP,LIME,Model_Permutation_Rank,GradInput_Baseline_Rank,Captum_IG_Rank,SHAP_Rank,LIME_Rank,Comparison,Wilcoxon_stat,p_value,p_adj_bonferroni,Rank_Biserial,Effect_size_label,Significance_Label,Implication,Stability_Top10_Noise_Overlap_CI_Low,Stability_Top10_Noise_Overlap_CI_High,Stability_Top10_Masking_Overlap_CI_Low,Stability_Top10_Masking_Overlap_CI_High
Captum_IntegratedGradients,0.7369688392462399,0.7303950939330657,0.7468924509143621,0.7270736843511862,0.7157323279687354,0.7453483755221543,0.714,0.7516666666666666,0.5113343593056023,0.5043476532698705,0.5185578896064377,0.7193102596172921,0.7123512516560575,0.7260192136724065,5.0,"age_at_admission, glucose_max, platelet_min, icd_count, procedure_icd_count",0.4938835150548086,0.5,0.35714285714285715,MethodSummary,,,,,,,,,,,,,,,,,,,,,,,,,,,0.701,0.726,0.7300000000000001,0.7633333333333333
SHAP,0.560023076923077,0.4915923076923076,0.6127348076923077,0.6400384615384616,0.5998717948717949,0.7096923076923077,0.6599999999999999,0.695,0.71528,0.7095176153846153,0.7214438461538462,0.7218861538461537,0.716969,0.726718923076923,5.0,"age_at_admission, icd_count, glucose_max, platelet_min, bilirubin_max",0.4635222515218831,0.5,0.35714285714285715,MethodSummary,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6210000000000001,0.694325,0.66,0.7273750000000001
LIME,0.3466,0.23223692307692312,0.49646615384615395,0.3638461538461539,0.12584615384615386,0.711423076923077,0.58,0.615,0.47630461538461544,0.4688476153846154,0.48221761538461544,0.12412615384615384,0.117593,0.1301483076923077,4.0,"ventilator_event_count, spo2_min, age_at_admission, mean_bp",0.48025835380579723,0.4,0.2857142857142857,MethodSummary,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49000000000000005,0.654775,0.5066666666666667,0.7827500000000005
,,,,,,,,,,,,,,,,,,,,ExplainerAgreement,0.6938461538461538,0.33461538461538465,0.2376923076923077,0.7,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,age_at_admission,True,0.07419270005525709,0.15437636,0.13348879289379925,0.1302928516035088,0.07911250438370716,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,gender,False,0.000877150750992306,0.012824958,0.02824192571555197,0.0319071521567567,0.03896202413302431,24.0,15.0,13.0,13.0,10.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,icd_count,True,0.014985554829959469,0.01884605,0.05563767925495081,0.05835401433016255,0.015783284215232143,10.0,10.0,7.0,4.0,23.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,icu_stay_count,False,0.00399462299693587,0.010979163,0.00257546828386605,0.03159701897992281,0.021897536207739515,18.0,17.0,24.0,14.0,16.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,procedure_icd_count,True,0.005439357010097146,0.013402972,0.04843486827205764,0.015023986930358913,0.020441859350340662,16.0,14.0,8.0,19.0,19.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FeatureImportance,,,,,,,procedure_row_count,False,0.0034297885166023833,0.01814346,0.043351236846902695,0.03254300068637897,0.016083793838984093,20.0,11.0,10.0,12.0,22.0,,,,,,,,,,,,
