Model,Candidate,CV_AUC_Mean,CV_AUC_STD,CV_AP_Mean,CV_Brier_Mean,CV_ECE_Mean,hidden_dim,lr,weight_decay,batch_size,CV_Folds,C,n_estimators,max_depth,min_samples_leaf,Used_for_Explanations,Explanation_Eligible,Model_Role,Test_AUC,Test_AP,Test_Brier,Test_ECE
MLP,"MLP(h=32,  lr=1e-03, wd=0e+00, bs=32)",0.8875959837671942,0.0007421681573270833,0.5591211124871589,0.3572269567598194,0.4808081015971436,32.0,0.001,0.0,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=32,  lr=1e-03, wd=0e+00, bs=64)",0.8832911425581627,0.002495505850158952,0.54838647033489,0.3786382153427925,0.5067822496058376,32.0,0.001,0.0,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=32,  lr=1e-03, wd=1e-04, bs=32)",0.887300940690833,0.0011266957194537297,0.5586816009718703,0.3579547014913903,0.4817415296154,32.0,0.001,0.0001,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=32,  lr=1e-03, wd=1e-04, bs=64)",0.883338489859206,0.0024756790977919496,0.5489388230780576,0.37918820436573497,0.5075569625730323,32.0,0.001,0.0001,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=32,  lr=5e-04, wd=0e+00, bs=32)",0.8823263104410033,0.0015849517351565479,0.5418945078548851,0.3914649331530337,0.5196681840541872,32.0,0.0005,0.0,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=32,  lr=5e-04, wd=0e+00, bs=64)",0.8768592855192512,0.00032856293369809553,0.5226016787503538,0.41479143779270716,0.5464782787565907,32.0,0.0005,0.0,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=32,  lr=5e-04, wd=1e-04, bs=32)",0.882248374701115,0.0015389495532038278,0.5419489919137712,0.3918058070001565,0.5201867705472045,32.0,0.0005,0.0001,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=32,  lr=5e-04, wd=1e-04, bs=64)",0.8767848785331424,0.0002489894859022401,0.522249660483542,0.41524323026573995,0.5469690833942287,32.0,0.0005,0.0001,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=64,  lr=1e-03, wd=0e+00, bs=32)",0.8894731281921775,0.00031532811912693415,0.5639843767106785,0.33695207404419125,0.4569515387888141,64.0,0.001,0.0,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=64,  lr=1e-03, wd=0e+00, bs=64)",0.8867992944316478,0.0019822709042045528,0.562778436230758,0.352364250152704,0.4773203748283887,64.0,0.001,0.0,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
